,Plant,Plant taxonomy,PlantSize,Light ,Water ,Temp_low (degF),Temp_high (degF),Temp_Range,TempDurability,Humidity ,Flowering ,Pests ,Soil ,PotSize ,Pruning ,Propogation (multiple options),SpecialOccasion ,CleanAirPlant,Toxicitylevel,"Verified (1 = good to go, 0 = possible error)"
1,African Violet,Saintpaulia ionantha,1,2,2,75,80,5,1,3,1,1,"rich, airy",1,regular,leaf cutting,1,2,0,
2,Agave Plant,Agave attenuata,2,3,1,50,80,30,3,1,2,1,"quick draining, cactus",2,2ne,offset,2,2,2,
3,Alocasia,Alocasia Amazonica,2,2,2,60,80,20,2,3,1,1,"organic, well-aerated, loose",2,as-needed,plant division,2,2,4,
4,Alocasia-Nebula,Alocasia nebula imperialis,2,2,2,60,80,20,2,3,1,1,"organic, well-aerated, loose",2,as-needed,plant division,2,2,4,
5,Aloe Vera Plant,Aloe Vera,1,3,1,65,85,20,2,1,1,2,any,1,2ne,"offset, sucker",2,1,1,
6,Aluminum Plant,Pilea,1,2,2,60,75,15,2,3,1,1,airy,1,regular,stem cutting,2,2,0,
7,Amaryllis,Hippeastrum,2,2,2,65,70,5,1,2,1,1,"bulb, quick draining",1,as-needed,offset,1,2,3,
8,Angel Wing Begonia,Begonia Coccinea,2,2,1,65,75,10,1,2,1,1,rich,2,as-needed,stem cutting,2,2,1,
9,Anthurium,Anthurium,2,2,2,75,85,10,1,3,1,1,"rich, organic, loose",1,as-needed,"stem cutting, offset",2,1,3,
10,Aralia Plant,Polyscias fruticosa,2,2,1,60,85,25,3,3,2,1,"peat-based, well-aerated, light",2,regular,"stem cutting, air layering",2,2,2,
11,Aralia Plant-Balfour,Polyscias-scutellaria,2,2,1,65,80,15,2,3,2,1,"peat-based, well-aerated, light",1,regular,"stem cutting, air layering",2,2,2,
12,Areca Palm,Dypsis lutescens,3,2,2,65,75,10,1,3,2,1,"rich, acidic",3,as-needed,"seed, offset, sucker, plant division",2,1,0,
13,Arrowhead Plant,Syngonium podophyllum,2,2,2,60,75,15,2,3,2,1,"rich, organic",2,as-needed,"stem cutting, plant division",2,2,2,
14,Asparagus Fern,Asparagus sprengeri,2,2,1,50,75,25,3,2,1,1,well-aerated,1,2ne,plant division,2,2,1,
15,Azalea,Rhododendron,2,2,2,60,70,10,1,2,1,1,"rich, acidic",1,as-needed,"stem cutting, graft, tissue culture",1,2,4,
16,Baby's Tears Plant,Soleirolia helxine,1,2,2,60,75,15,2,3,1,1,"well-aerated, quick draining",1,regular,"plant division, stem cutting",2,2,0,
17,Bamboo Palm,Chamaedorea seifrizii,3,2,2,65,80,15,2,3,2,1,well-aerated,3,as-needed,seed,2,1,1,
18,Begonia Plant,Begonia,2,2,1,65,75,10,1,3,1,2,"well-aerated, quick draining",2,as-needed,"stem cutting, leaf cutting",2,2,1,
